author_id,lexical_diversity,repeated_ratio,link_ratio,sentiment_polarity,comments_per_day,burstiness_hours,hour_entropy,segment,anomaly_score,anomaly_score_val
286275,0.586,0.042,0.008,0.018,0.331,115.491,3.398,0,1,0.09
291482,0.571,0.053,0.0,-0.013,0.606,209.068,4.031,0,1,0.06
295864,0.796,0.0,0.0,0.018,0.107,542.037,3.405,0,1,0.139
303719,0.523,0.021,0.0,0.014,0.29,206.549,3.894,0,1,0.085
305141,0.726,0.029,0.0,0.0,0.11,286.948,3.36,0,1,0.116
311243,0.546,0.0,0.0,0.115,0.092,514.005,3.638,0,1,0.074
314421,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0.18
315194,0.625,0.0,0.0,0.0,0.152,249.66,3.091,0,1,0.14
317628,0.699,0.0,0.0,0.05,0.092,383.416,3.383,0,1,0.135
319695,0.529,0.007,0.0,0.011,0.426,115.756,3.921,0,1,0.099
321396,0.647,0.0,0.0,0.079,0.077,337.102,2.71,0,1,0.118
331644,0.933,0.0,0.0,0.0,1.0,,1.0,1,1,0.155
351738,0.546,0.016,0.0,0.018,1.389,27.264,3.752,0,1,0.078
360608,0.574,0.015,0.0,0.007,0.408,94.143,4.201,0,1,0.092
364034,0.373,0.01,0.0,0.018,0.936,36.413,3.965,0,1,0.059
376388,0.483,0.04,0.0,0.02,0.896,43.391,3.909,0,1,0.075
386890,0.577,0.0,0.0,0.042,0.082,454.262,3.47,0,1,0.121
392928,0.488,0.0,0.012,0.013,0.301,143.726,3.957,0,1,0.098
395756,0.515,0.019,0.0,0.041,0.192,186.52,3.735,0,1,0.088
397212,0.121,0.931,0.0,0.0,0.279,138.071,3.595,2,-1,-0.133
397773,0.59,0.0,0.0,0.044,0.364,88.553,3.336,0,1,0.123
408447,0.468,0.019,0.01,0.001,0.942,55.54,3.752,0,1,0.077
2026,0.702,0.0,0.0,0.1,0.112,293.807,3.284,0,1,0.118
2867,0.468,0.0,0.007,0.007,0.421,74.994,3.71,0,1,0.104
7008,0.532,0.052,0.0,0.01,0.481,68.309,3.347,0,1,0.078
7309,0.388,0.0,0.056,0.072,0.46,90.884,4.048,0,1,0.009
8407,0.335,0.016,0.016,0.01,1.074,35.824,4.038,0,1,0.028
8564,0.41,0.0,0.016,0.022,1.255,152.528,3.791,0,1,0.06
8958,0.757,0.074,0.0,0.044,0.101,284.595,2.666,0,1,0.074
11521,0.58,0.034,0.0,0.028,0.18,152.837,4.1,0,1,0.084
11892,0.76,0.053,0.0,0.001,0.119,224.12,3.59,0,1,0.087
12047,0.477,0.007,0.081,0.012,0.987,34.547,4.006,0,1,0.039
16721,0.529,0.0,0.0,0.011,0.205,185.318,3.774,0,1,0.113
17159,0.505,0.022,0.022,0.004,0.379,134.219,3.76,0,1,0.08
21988,0.904,0.0,0.0,-0.042,0.022,1933.222,1.918,3,1,0.106
23942,0.714,0.0,0.0,-0.004,0.064,878.877,3.523,0,1,0.121
25257,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0.18
25434,0.382,0.031,0.013,-0.007,0.635,54.812,3.889,0,1,0.045
25461,0.915,0.0,0.0,0.0,0.022,2273.9,1.585,3,1,0.093
25853,0.473,0.0,0.0,0.005,0.653,216.001,2.995,0,1,0.1
34426,0.521,0.0,0.0,0.015,0.257,102.47,3.89,0,1,0.112
35312,0.598,0.0,0.024,0.015,0.123,289.199,3.72,0,1,0.11
35639,0.673,0.0,0.13,-0.01,0.068,422.251,3.501,0,1,0.078
42907,0.552,0.025,0.0,-0.0,0.226,188.301,2.148,0,1,0.083
